epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,19373.1,0.62852,0.33135,0.86662,0.9271,0.9271,0.97265,0.82885,0.5898,0.30431,0.86432,0.004258,0.004258,0.004258
118,19538.8,0.62846,0.33065,0.865,0.92644,0.92834,0.97215,0.82847,0.58935,0.3041,0.86341,0.0042085,0.0042085,0.0042085
119,19709.3,0.6254,0.33107,0.86167,0.93342,0.91977,0.97297,0.83042,0.58599,0.30401,0.86243,0.004159,0.004159,0.004159
120,19881.9,0.62395,0.32834,0.86255,0.92832,0.92606,0.97264,0.82978,0.58513,0.30209,0.86286,0.0041095,0.0041095,0.0041095
121,20049.1,0.62594,0.3292,0.86355,0.92269,0.93231,0.97311,0.82983,0.58614,0.30185,0.86335,0.00406,0.00406,0.00406
122,20221,0.62107,0.32633,0.86119,0.92355,0.93057,0.97308,0.82937,0.58583,0.30263,0.86348,0.0040105,0.0040105,0.0040105
123,20387.6,0.62339,0.32807,0.86621,0.92943,0.92594,0.97315,0.82925,0.58923,0.30278,0.86433,0.003961,0.003961,0.003961
124,20558.3,0.61958,0.32557,0.86281,0.93342,0.9212,0.97257,0.83033,0.58627,0.30148,0.86368,0.0039115,0.0039115,0.0039115
125,20728.6,0.62201,0.32654,0.86158,0.92662,0.92872,0.97218,0.82987,0.58455,0.30179,0.86236,0.003862,0.003862,0.003862
126,20896.6,0.61954,0.32301,0.86113,0.93177,0.92284,0.97262,0.83017,0.58384,0.30095,0.86188,0.0038125,0.0038125,0.0038125
127,21065.5,0.62005,0.32549,0.86117,0.93291,0.92143,0.97238,0.8314,0.58359,0.30068,0.86146,0.003763,0.003763,0.003763
128,21237,0.61231,0.32285,0.86118,0.93182,0.92203,0.97291,0.83207,0.58237,0.30079,0.86154,0.0037135,0.0037135,0.0037135
129,21406.1,0.6146,0.32235,0.86244,0.92976,0.9266,0.97294,0.83198,0.58244,0.30074,0.86142,0.003664,0.003664,0.003664
130,21578.3,0.61659,0.32356,0.8612,0.93055,0.92716,0.97319,0.83192,0.58169,0.29935,0.86138,0.0036145,0.0036145,0.0036145
131,21747.8,0.61108,0.32174,0.85875,0.9301,0.92543,0.9727,0.83184,0.58136,0.29966,0.86186,0.003565,0.003565,0.003565
132,21915.5,0.61275,0.32134,0.85726,0.92972,0.92455,0.97249,0.83127,0.58191,0.30037,0.86224,0.0035155,0.0035155,0.0035155
133,22087.1,0.61094,0.32054,0.86025,0.92487,0.93158,0.97289,0.83224,0.5812,0.29962,0.86201,0.003466,0.003466,0.003466
134,22256.1,0.60822,0.31941,0.85784,0.92934,0.92682,0.97368,0.83262,0.58167,0.2995,0.86213,0.0034165,0.0034165,0.0034165
135,22426.3,0.60752,0.31884,0.85847,0.93009,0.92513,0.97377,0.83352,0.5822,0.29891,0.86165,0.003367,0.003367,0.003367
136,22573.9,0.60772,0.31873,0.85802,0.93199,0.92442,0.97401,0.83387,0.58107,0.29916,0.86138,0.0033175,0.0033175,0.0033175
137,22709.2,0.60683,0.3184,0.85893,0.93357,0.92455,0.9737,0.83218,0.58131,0.29835,0.86178,0.003268,0.003268,0.003268
138,22847.7,0.60742,0.31663,0.85843,0.93415,0.92155,0.9738,0.8327,0.58169,0.29863,0.86185,0.0032185,0.0032185,0.0032185
139,22984.9,0.59975,0.31468,0.8574,0.93793,0.91794,0.97366,0.83343,0.58247,0.29835,0.86172,0.003169,0.003169,0.003169
140,23120.2,0.59986,0.31507,0.85451,0.92489,0.93051,0.97349,0.8327,0.58155,0.29839,0.86183,0.0031195,0.0031195,0.0031195
141,23260,0.60297,0.31732,0.85643,0.92419,0.93022,0.9735,0.83192,0.58375,0.29824,0.86277,0.00307,0.00307,0.00307
142,23398.5,0.60219,0.31465,0.85445,0.92264,0.93254,0.97355,0.83274,0.5819,0.2967,0.86242,0.0030205,0.0030205,0.0030205
143,23534.5,0.59885,0.31468,0.8543,0.92617,0.93042,0.97354,0.83324,0.58142,0.29638,0.86238,0.002971,0.002971,0.002971
144,23673.5,0.59744,0.31361,0.855,0.92543,0.92907,0.97328,0.83301,0.58158,0.29722,0.86242,0.0029215,0.0029215,0.0029215
145,23812.4,0.59493,0.313,0.85456,0.92489,0.93047,0.97342,0.83407,0.58092,0.29678,0.86261,0.002872,0.002872,0.002872
146,23946.4,0.59224,0.30972,0.85358,0.92456,0.93316,0.97348,0.83351,0.58015,0.29598,0.86227,0.0028225,0.0028225,0.0028225
147,24084.1,0.59311,0.31091,0.8551,0.92406,0.93312,0.97324,0.83292,0.58071,0.29608,0.86242,0.002773,0.002773,0.002773
148,24223.1,0.5951,0.31143,0.85352,0.92419,0.93346,0.97349,0.8332,0.58009,0.29593,0.86266,0.0027235,0.0027235,0.0027235
149,24358.6,0.59145,0.30857,0.8532,0.92742,0.93046,0.97319,0.83305,0.57962,0.29608,0.86331,0.002674,0.002674,0.002674
150,24497.6,0.5938,0.31053,0.85518,0.9258,0.93022,0.9729,0.83336,0.57977,0.29571,0.86363,0.0026245,0.0026245,0.0026245
151,24634.4,0.58977,0.30988,0.85042,0.92295,0.93161,0.97283,0.83292,0.58116,0.29604,0.86385,0.002575,0.002575,0.002575
152,24772.7,0.58952,0.3073,0.85332,0.92351,0.93049,0.97297,0.83325,0.58154,0.29602,0.86405,0.0025255,0.0025255,0.0025255
153,24912.3,0.5902,0.30953,0.85252,0.9258,0.92976,0.97292,0.83249,0.58218,0.29613,0.86429,0.002476,0.002476,0.002476
154,25046.2,0.58818,0.3072,0.85231,0.92278,0.933,0.97337,0.83299,0.58345,0.29673,0.86455,0.0024265,0.0024265,0.0024265
155,25184.3,0.58608,0.30545,0.853,0.92237,0.933,0.97353,0.83341,0.58221,0.29678,0.86409,0.002377,0.002377,0.002377
